index,Обозначение,D,l_,L,z,Конус_Морзе,Исполнение,fi_,Группа,Тип_инструмента,Стандарт,D_доп.,d_,Тип_отверстия
12888,2320-2121,36.0,,50.0,3.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
12889,2320-2122,36.0,,50.0,3.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
12890,2320-2123,38.0,,50.0,3.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
12891,2320-2124,38.0,,50.0,3.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
12892,2320-2125,40.0,,50.0,3.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
12893,2320-2126,40.0,,50.0,3.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
12894,2320-2127,42.0,,50.0,3.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
12895,2320-2128,42.0,,50.0,3.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
12896,2320-2129,44.0,,50.0,3.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
12897,2320-2130,44.0,,50.0,3.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
12898,2320-2131,45.0,,50.0,3.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,16.0,
12899,2320-2132,45.0,,50.0,3.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,16.0,
12900,2320-2133,46.0,,56.0,3.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,19.0,
12901,2320-2134,46.0,,56.0,3.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,19.0,
12902,2320-2135,48.0,,56.0,3.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,19.0,
12903,2320-2136,48.0,,56.0,3.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,19.0,
12904,2320-2137,50.0,,56.0,4.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,19.0,
12905,2320-2138,50.0,,56.0,4.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,19.0,
12906,2320-2139,52.0,,56.0,4.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,19.0,
12907,2320-2140,52.0,,56.0,4.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,19.0,
12908,2320-2141,55.0,,63.0,4.0,,1,90.0,Тип 1,Зенкер,ГОСТ 21584-76,,22.0,
12909,2320-2142,55.0,,63.0,4.0,,1,90.0,Тип 2,Зенкер,ГОСТ 21584-76,,22.0,
