index,Обозначение,D,d_1_,d_2_,l_,L,z,Конус_Морзе,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,h_,l_1_,l_2_,r_,l_0_,Тип_развертки,fi_1_,gamma_,lambda_,Конусность_развертки,d_2_доп._
3125,2260-0193,5.5,,,47,93.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,5.5,,12.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
3203,23-60-0183,3.4,,,31,62.0,6.0,,2,1.0,,,Развертка,ГОСТ 7722-77,,3.4,,10.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13247,2360-0101,1.0,,,18.0,38.0,5.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,2.0,,4.0,18.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13248,2360-0102,1.1,,,18.0,38.0,5.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,2.0,,4.0,18.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13249,2360-0103,1.2,,,20.0,41.0,5.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,2.0,,5.0,18.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13250,2360-0104,1.4,,,20.0,41.0,5.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,2.0,,5.0,18.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13251,2360-0105,1.5,,,20.0,41.0,4.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,1.5,,5.0,18.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13252,2360-0106,1.6,,,21.0,44.0,4.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,1.6,,6.0,20.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13253,2360-0107,1.8,,,23.0,47.0,4.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,1.8,,6.0,20.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13254,2360-0108,2.0,,,25.0,50.0,4.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,2.0,,7.0,22.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13255,2360-0109,2.2,,,27.0,54.0,4.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,2.2,,7.0,22.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13256,2360-0110,2.5,,,29.0,58.0,4.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,2.5,,8.0,25.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13257,2360-0111,2.8,,,31.0,62.0,4.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,2.8,,8.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13258,2360-0112,3.0,,,31.0,62.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,3.0,,10.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13259,2360-0113,3.2,,,31.0,62.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,3.2,,10.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13260,2360-0114,3.4,,,31.0,62.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,3.4,,10.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13261,2360-0115,3.5,,,35.0,71.0,6.0,,1,1.0,,,Развертка,ГОСТ 7722-77,,3.5,,10.0,32.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,
