index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,z,Конус_Морзе,Исполнение,fi_,Группа,Тип_инструмента,Стандарт,D_1,P,d_,Направление,B,K,Точность,D_2,l_1_,Серия,omega_,r_,D_ном.,D_1_доп.,D_2_доп.,L_1,L_2,L_3,L_3_доп.,Разряд,Тип_хвостовика,l_откл._,L_откл.,r_откл._,l_0_,k_,K_откл.,a_откл._
3204,2300-0001,,2.0,,,56.0,85.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3205,2300-0002,,2.05,,,56.0,85.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3206,2300-0003,,2.1,,,56.0,85.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3207,2300-0004,,2.15,,,56.0,85.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3208,2300-0005,,2.2,,,56.0,85.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3209,2300-0006,,2.3,,,56.0,85.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3210,2300-0007,,2.4,,,62.0,95.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3211,2300-0008,,2.5,,,62.0,95.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3212,2300-0009,,2.55,,,62.0,95.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3213,2300-0010,,2.6,,,62.0,95.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3214,2300-0011,,2.65,,,62.0,95.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3215,2300-0012,,2.7,,,66.0,100.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3216,2300-0013,,2.8,,,66.0,100.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3217,2300-0014,,2.9,,,66.0,100.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3218,2300-0015,,3.0,,,66.0,100.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3219,2300-0016,,3.1,,,69.0,106.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3220,2300-0017,,3.15,,,69.0,106.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3221,2300-0018,,3.2,,,69.0,106.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3222,2300-0019,,3.3,,,69.0,106.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3223,2300-0020,,3.35,,,69.0,106.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3224,2300-0021,,3.4,,,73.0,112.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3225,2300-0022,,3.5,,,73.0,112.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3226,2300-0023,,3.6,,,73.0,112.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3227,2300-0024,,3.7,,,73.0,112.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3228,2300-0025,,3.8,,,78.0,119.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3229,2300-0026,,3.9,,,78.0,119.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3230,2300-0027,,4.0,,,78.0,119.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3231,2300-0028,,4.1,,,78.0,119.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3232,2300-0029,,4.2,,,78.0,119.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3233,2300-0030,,4.25,,,78.0,119.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3234,2300-0031,,4.5,,,82.0,126.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3235,2300-0032,,4.6,,,82.0,126.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3236,2300-0033,,4.8,,,87.0,132.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3237,2300-0034,,5.0,,,87.0,132.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3238,2300-0036,,5.2,,,87.0,132.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3239,2300-0037,,5.5,,,91.0,139.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3240,2300-0038,,5.6,,,91.0,139.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3241,2300-0039,,5.7,,,91.0,139.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3242,2300-003S,,5.1,,,87.0,132.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3243,2300-0041,,6.0,,,91.0,139.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3244,2300-0042,,6.1,,,97.0,148.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3245,2300-0043,,6.2,,,97.0,148.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3246,2300-0044,,6.3,,,97.0,148.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3247,2300-0045,,6.5,,,97.0,148.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3248,2300-0046,,6.7,,,97.0,148.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3249,2300-0047,,7.0,,,102.0,156.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3250,2300-0048,,7.1,,,102.0,156.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3251,2300-0049,,7.2,,,102.0,156.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3252,2300-0051,,7.5,,,102.0,156.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3253,2300-0052,,7.6,,,109.0,165.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3254,2300-0053,,7.7,,,109.0,165.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3255,2300-0054,,7.8,,,109.0,165.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3256,2300-0055,,8.0,,,109.0,165.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3257,2300-0056,,8.1,,,109.0,165.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3258,2300-0057,,8.2,,,109.0,165.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3259,2300-0058,,8.3,,,109.0,165.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3260,2300-0059,,8.4,,,109.0,165.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3261,2300-0061,,8.7,,,115.0,175.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
3262,2300-0062,,8.9,,,115.0,175.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
