index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,q_,z,Конус_Морзе,Исполнение,fi_,type_cutter_,mat_,type_of_cutting_part_,Группа,Тип_инструмента,Стандарт,D_1,f_доп._,D_доп.,P,l_номин._,d_,d_доп._,d_1_доп._,Направление,B,c_,c_доп._,h_,R,R_доп.,m_n0_,L_доп.,K,K_доп.,Точность,D_2,l_1_,f_откл._,g_,g_откл._,zxd_xD,z_0_,Серия,Точность_паза,m_0_,Подгруппа,h_доп._,m_,Метрический_хвостовик,b_,S,t_,d_0_,l_доп._,omega_,l_2_,r_,r_доп._,B_доп.,H,omega_u_,D_откл.,c_общего_назначения_,c_для_шпоночных_пазов_,Конус_метрический,alpha_
152,2210-0061,,40.0,25.0,,18.0,32.0,,,10.0,,,90.0,Торцовая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 9304-69,,,,,,16.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2210-0062,,40.0,25.0,,18.0,32.0,,,10.0,,,90.0,Торцовая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 9304-69,,,,,,16.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2210-0063,,50.0,32.0,,20.0,36.0,,,12.0,,,90.0,Торцовая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 9304-69,,,,,,22.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2210-0064,,50.0,32.0,,20.0,36.0,,,12.0,,,90.0,Торцовая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 9304-69,,,,,,22.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2210-0071,,63.0,38.0,,22.0,40.0,,,14.0,,,90.0,Торцовая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 9304-69,,,,,,27.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2210-0072,,63.0,38.0,,22.0,40.0,,,14.0,,,90.0,Торцовая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 9304-69,,,,,,27.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2210-0073,,80.0,45.0,,25.0,45.0,,,16.0,,,90.0,Торцовая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 9304-69,,,,,,32.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2210-0074,,80.0,45.0,,25.0,45.0,,,16.0,,,90.0,Торцовая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 9304-69,,,,,,32.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2210-0075,,100.0,56.0,,28.0,50.0,,,18.0,,,90.0,Торцовая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 9304-69,,,,,,32.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2210-0076,,100.0,56.0,,28.0,50.0,,,18.0,,,90.0,Торцовая,"0, 1",1.0,Тип 1,Фреза,ГОСТ 9304-69,,,,,,32.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
