index,Обозначение,a_,D,l_,L,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,Направление,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,Тип_резца,h_1_,Группа_резца
0,2100-0001,,,,50.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,8.0,,,,,0.2,8.0,45.0,10.0,0.0,4.0,6.0,Токарный,,
1,2100-0002,,,,50.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,8.0,,,,,0.2,8.0,45.0,10.0,0.0,4.0,6.0,Токарный,,
2,2100-0003,,,,60.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,10.0,,,,,0.2,10.0,45.0,10.0,0.0,6.0,8.0,Токарный,,
3,2100-0004,,,,60.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,10.0,,,,,0.2,10.0,45.0,10.0,0.0,6.0,8.0,Токарный,,
4,2100-0005,,,,70.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,12.0,,,,,0.2,12.0,45.0,10.0,0.0,7.0,10.0,Токарный,,
5,2100-0006,,,,70.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,12.0,,,,,0.2,12.0,45.0,10.0,0.0,7.0,10.0,Токарный,,
6,2100-0007,,,,80.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,16.0,,,,,0.2,16.0,45.0,10.0,0.0,9.0,12.0,Токарный,,
7,2100-0008,,,,80.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,16.0,,,,,0.2,16.0,45.0,10.0,0.0,9.0,12.0,Токарный,,
8,2100-0011,,,,120.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,12.0,,,,,0.2,20.0,45.0,10.0,0.0,7.0,10.0,Токарный,,
9,2100-0012,,,,120.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,12.0,,,,,0.2,20.0,45.0,10.0,0.0,7.0,10.0,Токарный,,
10,2100-0013,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,20.0,,,,,0.2,20.0,45.0,10.0,0.0,12.0,16.0,Токарный,,
11,2100-0014,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,20.0,45.0,10.0,0.0,12.0,16.0,Токарный,,
12,2100-0017,,,,140.0,,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,16.0,,,,,0.2,25.0,45.0,10.0,0.0,9.0,12.0,Токарный,,
13,2100-0018,,,,140.0,,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,16.0,,,,,0.2,25.0,45.0,10.0,0.0,9.0,12.0,Токарный,,
14,2100-0019,,,,170.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,20.0,,,,,0.2,32.0,45.0,10.0,0.0,12.0,16.0,Токарный,,
15,2100-0020,,,,170.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,32.0,45.0,10.0,0.0,12.0,16.0,Токарный,,
16,2100-0021,,,,200.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,25.0,,,,,0.2,40.0,45.0,10.0,0.0,14.0,20.0,Токарный,,
17,2100-0022,,,,200.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,25.0,,,,,0.2,40.0,45.0,10.0,0.0,14.0,20.0,Токарный,,
18,2100-0023,,,,240.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,32.0,,,,,0.2,50.0,45.0,10.0,0.0,18.0,25.0,Токарный,,
19,2100-0024,,,,240.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,32.0,,,,,0.2,50.0,45.0,10.0,0.0,18.0,25.0,Токарный,,
20,2100-0025,,,,100.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,10.0,,,,,0.2,16.0,45.0,10.0,0.0,6.0,8.0,Токарный,,
21,2100-0026,,,,100.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,10.0,,,,,0.2,16.0,45.0,10.0,0.0,6.0,8.0,Токарный,,
22,2100-0027,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,12.0,,,,,0.2,16.0,45.0,10.0,0.0,7.0,10.0,Токарный,,
23,2100-0028,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,12.0,,,,,0.2,16.0,45.0,10.0,0.0,7.0,10.0,Токарный,,
24,2100-0029,,,,120.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,16.0,,,,,0.2,20.0,45.0,10.0,0.0,9.0,12.0,Токарный,,
25,2100-0030,,,,120.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,16.0,,,,,0.2,20.0,45.0,10.0,0.0,9.0,12.0,Токарный,,
26,2100-0031,,,,140.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,20.0,,,,,0.2,25.0,45.0,10.0,0.0,12.0,16.0,Токарный,,
27,2100-0032,,,,140.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,25.0,45.0,10.0,0.0,12.0,16.0,Токарный,,
28,2100-0033,,,,170.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,25.0,,,,,0.2,32.0,45.0,10.0,0.0,14.0,20.0,Токарный,,
29,2100-0034,,,,170.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,25.0,,,,,0.2,32.0,45.0,10.0,0.0,14.0,20.0,Токарный,,
30,2100-0035,,,,200.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,32.0,,,,,0.2,40.0,45.0,10.0,0.0,18.0,25.0,Токарный,,
31,2100-0036,,,,200.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,32.0,,,,,0.2,40.0,45.0,10.0,0.0,18.0,25.0,Токарный,,
32,2100-0037,,,,240.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,40.0,,,,,0.2,50.0,45.0,10.0,0.0,22.0,32.0,Токарный,,
33,2100-0038,,,,240.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,40.0,,,,,0.2,50.0,45.0,10.0,0.0,22.0,32.0,Токарный,,
34,2100-0051,,,,80.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,16.0,,,,,0.2,16.0,45.0,0.0,0.0,9.0,12.0,Токарный,,
35,2100-0052,,,,80.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,16.0,,,,,0.2,16.0,45.0,0.0,0.0,9.0,12.0,Токарный,,
36,2100-0055,,,,120.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,12.0,,,,,0.2,20.0,45.0,0.0,0.0,7.0,10.0,Токарный,,
37,2100-0056,,,,120.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,12.0,,,,,0.2,20.0,45.0,0.0,0.0,7.0,10.0,Токарный,,
38,2100-0057,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,20.0,,,,,0.2,20.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
39,2100-0058,,,,100.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,20.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
40,2100-0059,,,,140.0,,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,16.0,,,,,0.2,25.0,45.0,0.0,0.0,9.0,12.0,Токарный,,
41,2100-0060,,,,140.0,,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,16.0,,,,,0.2,25.0,45.0,0.0,0.0,9.0,12.0,Токарный,,
42,2100-0061,,,,170.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,20.0,,,,,0.2,32.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
43,2100-0062,,,,170.0,1.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,32.0,45.0,0.0,0.0,12.0,16.0,Токарный,,
