id,tool_id,D,l_,L,z,morse_taper,execution,fi_,group,D_additional,d_,hole_type,created_at,updated_at
717,12888,36.0,,50.0,3,,1,90.0,Тип 1,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
718,12889,36.0,,50.0,3,,1,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
719,12890,38.0,,50.0,3,,1,90.0,Тип 1,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
720,12891,38.0,,50.0,3,,1,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
721,12892,40.0,,50.0,3,,1,90.0,Тип 1,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
722,12893,40.0,,50.0,3,,1,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
723,12894,42.0,,50.0,3,,1,90.0,Тип 1,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
724,12895,42.0,,50.0,3,,1,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
725,12896,44.0,,50.0,3,,1,90.0,Тип 1,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
726,12897,44.0,,50.0,3,,1,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
727,12898,45.0,,50.0,3,,1,90.0,Тип 1,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
728,12899,45.0,,50.0,3,,1,90.0,Тип 2,,16.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
729,12900,46.0,,56.0,3,,1,90.0,Тип 1,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
730,12901,46.0,,56.0,3,,1,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
731,12902,48.0,,56.0,3,,1,90.0,Тип 1,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
732,12903,48.0,,56.0,3,,1,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
733,12904,50.0,,56.0,4,,1,90.0,Тип 1,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
734,12905,50.0,,56.0,4,,1,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
735,12906,52.0,,56.0,4,,1,90.0,Тип 1,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
736,12907,52.0,,56.0,4,,1,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
737,12908,55.0,,63.0,4,,1,90.0,Тип 1,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
738,12909,55.0,,63.0,4,,1,90.0,Тип 2,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
739,12910,58.0,,63.0,4,,1,90.0,Тип 1,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
740,12911,58.0,,63.0,4,,1,90.0,Тип 2,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
741,12912,60.0,,63.0,4,,1,90.0,Тип 1,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
742,12913,60.0,,63.0,4,,1,90.0,Тип 2,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
743,12914,62.0,,63.0,4,,1,90.0,Тип 1,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
744,12915,62.0,,63.0,4,,1,90.0,Тип 2,,22.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
745,12916,65.0,,71.0,4,,1,90.0,Тип 1,,27.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
746,12917,65.0,,71.0,4,,1,90.0,Тип 2,,27.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
