id,tool_id,D,d_1_,d_2_,l_,L,z,morse_taper,execution,fi_,mat_,group,D_1,d_,h_,l_1_,l_2_,r_,l_0_,reamer_type,fi_1_,gamma_,lambda_,reamer_taper,d_2_additional,created_at,updated_at
1,3125,5.5,,,47.0,93.0,6,,2,1.0,,,,5.5,,12.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
2,3203,3.4,,,31.0,62.0,6,,2,1.0,,,,3.4,,10.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
3,13247,1.0,,,18.0,38.0,5,,1,1.0,,,,2.0,,4.0,18.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
4,13248,1.1,,,18.0,38.0,5,,1,1.0,,,,2.0,,4.0,18.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
5,13249,1.2,,,20.0,41.0,5,,1,1.0,,,,2.0,,5.0,18.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
6,13250,1.4,,,20.0,41.0,5,,1,1.0,,,,2.0,,5.0,18.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
7,13251,1.5,,,20.0,41.0,4,,1,1.0,,,,1.5,,5.0,18.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
8,13252,1.6,,,21.0,44.0,4,,1,1.0,,,,1.6,,6.0,20.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
9,13253,1.8,,,23.0,47.0,4,,1,1.0,,,,1.8,,6.0,20.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
10,13254,2.0,,,25.0,50.0,4,,1,1.0,,,,2.0,,7.0,22.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
11,13255,2.2,,,27.0,54.0,4,,1,1.0,,,,2.2,,7.0,22.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
12,13256,2.5,,,29.0,58.0,4,,1,1.0,,,,2.5,,8.0,25.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
13,13257,2.8,,,31.0,62.0,4,,1,1.0,,,,2.8,,8.0,28.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
