id,tool_id,a_,D,l_,L,execution,fi_,mat_,group,D_1,d_,direction,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,cutter_type,h_1_,cutter_group,created_at,updated_at
1,0,,,,50.0,1.0,45.0,1,,,,Правые,8.0,,,,,0.2,8.0,45.0,10.0,0.0,4.0,6.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
2,1,,,,50.0,1.0,45.0,1,,,,Левые,8.0,,,,,0.2,8.0,45.0,10.0,0.0,4.0,6.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
3,2,,,,60.0,1.0,45.0,1,,,,Правые,10.0,,,,,0.2,10.0,45.0,10.0,0.0,6.0,8.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
4,3,,,,60.0,1.0,45.0,1,,,,Левые,10.0,,,,,0.2,10.0,45.0,10.0,0.0,6.0,8.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
5,4,,,,70.0,1.0,45.0,1,,,,Правые,12.0,,,,,0.2,12.0,45.0,10.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
6,5,,,,70.0,1.0,45.0,1,,,,Левые,12.0,,,,,0.2,12.0,45.0,10.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
7,6,,,,80.0,2.0,45.0,1,,,,Правые,16.0,,,,,0.2,16.0,45.0,10.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
8,7,,,,80.0,2.0,45.0,1,,,,Левые,16.0,,,,,0.2,16.0,45.0,10.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
9,8,,,,120.0,1.0,45.0,1,,,,Правые,12.0,,,,,0.2,20.0,45.0,10.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
10,9,,,,120.0,1.0,45.0,1,,,,Левые,12.0,,,,,0.2,20.0,45.0,10.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
11,10,,,,100.0,1.0,45.0,1,,,,Правые,20.0,,,,,0.2,20.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
12,11,,,,100.0,1.0,45.0,1,,,,Левые,20.0,,,,,0.2,20.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
13,12,,,,140.0,,45.0,1,,,,Правые,16.0,,,,,0.2,25.0,45.0,10.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
14,13,,,,140.0,,45.0,1,,,,Левые,16.0,,,,,0.2,25.0,45.0,10.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
15,14,,,,170.0,1.0,45.0,1,,,,Правые,20.0,,,,,0.2,32.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
16,15,,,,170.0,1.0,45.0,1,,,,Левые,20.0,,,,,0.2,32.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
17,16,,,,200.0,1.0,45.0,1,,,,Правые,25.0,,,,,0.2,40.0,45.0,10.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
18,17,,,,200.0,1.0,45.0,1,,,,Левые,25.0,,,,,0.2,40.0,45.0,10.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
19,18,,,,240.0,1.0,45.0,1,,,,Правые,32.0,,,,,0.2,50.0,45.0,10.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
20,19,,,,240.0,1.0,45.0,1,,,,Левые,32.0,,,,,0.2,50.0,45.0,10.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
21,20,,,,100.0,2.0,45.0,1,,,,Правые,10.0,,,,,0.2,16.0,45.0,10.0,0.0,6.0,8.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
22,21,,,,100.0,2.0,45.0,1,,,,Левые,10.0,,,,,0.2,16.0,45.0,10.0,0.0,6.0,8.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
23,22,,,,100.0,1.0,45.0,1,,,,Правые,12.0,,,,,0.2,16.0,45.0,10.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
24,23,,,,100.0,1.0,45.0,1,,,,Левые,12.0,,,,,0.2,16.0,45.0,10.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
25,24,,,,120.0,1.0,45.0,1,,,,Правые,16.0,,,,,0.2,20.0,45.0,10.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
26,25,,,,120.0,1.0,45.0,1,,,,Левые,16.0,,,,,0.2,20.0,45.0,10.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
27,26,,,,140.0,1.0,45.0,1,,,,Правые,20.0,,,,,0.2,25.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
28,27,,,,140.0,1.0,45.0,1,,,,Левые,20.0,,,,,0.2,25.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
29,28,,,,170.0,1.0,45.0,1,,,,Правые,25.0,,,,,0.2,32.0,45.0,10.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
30,29,,,,170.0,1.0,45.0,1,,,,Левые,25.0,,,,,0.2,32.0,45.0,10.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
31,30,,,,200.0,1.0,45.0,1,,,,Правые,32.0,,,,,0.2,40.0,45.0,10.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
32,31,,,,200.0,1.0,45.0,1,,,,Левые,32.0,,,,,0.2,40.0,45.0,10.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
