id,marking,group,standard,created_at,updated_at
15919,2100-0001,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15920,2100-0002,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15921,2100-0003,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15922,2100-0004,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15923,2100-0005,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15924,2100-0006,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15925,2100-0007,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15926,2100-0008,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15927,2100-0011,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15928,2100-0012,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15929,2100-0013,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15930,2100-0014,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15931,2100-0017,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15932,2100-0018,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15933,2100-0019,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15934,2100-0020,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15935,2100-0021,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15936,2100-0022,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15937,2100-0023,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15938,2100-0024,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15939,2100-0025,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15940,2100-0026,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15941,2100-0027,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15942,2100-0028,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15943,2100-0029,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15944,2100-0030,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15945,2100-0031,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15946,2100-0032,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15947,2100-0033,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15948,2100-0034,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15949,2100-0035,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15950,2100-0036,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15951,2100-0037,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15952,2100-0038,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15953,2100-0051,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15954,2100-0052,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15955,2100-0055,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15956,2100-0056,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15957,2100-0057,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15958,2100-0058,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15959,2100-0059,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15960,2100-0060,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15961,2100-0061,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15962,2100-0062,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15963,2100-0063,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15964,2100-0064,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15965,2100-0065,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15966,2100-0066,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15967,2100-0067,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15968,2100-0068,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15969,2100-0069,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15970,2100-0070,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15971,2100-0071,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15972,2100-0072,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15973,2100-0073,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15974,2100-0074,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15975,2100-0075,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15976,2100-0076,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15977,2100-0077,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15978,2100-0078,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15979,2100-0079,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15980,2100-0080,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15981,2100-0401,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15982,2100-0402,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15983,2100-0403,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15984,2100-0404,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15985,2100-0405,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15986,2100-0406,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15987,2100-0407,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15988,2100-0408,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15989,2100-0409,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15990,2100-0410,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15991,2100-0411,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15992,2100-0412,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15993,2100-0413,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15994,2100-0414,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15995,2100-0415,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15996,2100-0416,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15997,2100-0417,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15998,2100-0418,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
15999,2100-0419,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16000,2100-0420,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16001,2100-0421,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16002,2100-0422,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16003,2100-0423,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16004,2100-0424,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16005,2100-0461,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16006,2100-0462,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16007,2100-0463,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16008,2100-0464,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16009,2100-0465,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16010,2100-0466,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16011,2100-0467,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16012,2100-0468,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16013,2100-0469,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16014,2100-0470,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16015,2100-0471,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16016,2100-0472,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16017,2100-0473,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16018,2100-0474,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16019,2100-0475,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16020,2100-0476,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16021,2100-0477,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16022,2100-0478,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16023,2100-0479,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16024,2100-0480,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
16025,2100-0481,Резец,ГОСТ 18878-73,2025-06-21 11:49:49.343707+00:00,2025-06-21 11:49:49.343707+00:00
